dataset_id,dataset_title,sub_table,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,geography_level,district_number,area_name,area_name_en,price_basis,floor_area_sqm,building_age_years,building_age_text,price_psm_toman,price_psm_raw,price_psm_unit_source,flag_amount_ambiguous,notes,source_row
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,نیاوران,Niavaran,kilid_estimated_avg,,,,101900000.0,101.9 million,million_toman,False,,9
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,نیاوران,Niavaran,kilid_newly_built,,,,128900000.0,128.9 million,million_toman,False,,9
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,فرمانیه,Farmanieh,kilid_estimated_avg,,,,98400000.0,98.4 million,million_toman,False,,10
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,فرمانیه,Farmanieh,kilid_newly_built,,,,127800000.0,127.8 million,million_toman,False,,10
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,کامرانیه,Kamranieh,kilid_estimated_avg,,,,110500000.0,110.5 million,million_toman,False,,11
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,کامرانیه,Kamranieh,kilid_newly_built,,,,158400000.0,158.4 million,million_toman,False,,11
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,الهیه,Elahieh,kilid_estimated_avg,,,,110300000.0,110.3 million,million_toman,False,,12
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,الهیه,Elahieh,kilid_newly_built,,,,139300000.0,139.3 million,million_toman,False,,12
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,پاسداران,Pasdaran,kilid_estimated_avg,,,,85900000.0,85.9 million,million_toman,False,,13
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,پاسداران,Pasdaran,kilid_newly_built,,,,99700000.0,99.7 million,million_toman,False,,13
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,ظفر,Zafar,kilid_estimated_avg,,,,71100000.0,71.1 million,million_toman,False,,14
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,ظفر,Zafar,kilid_newly_built,,,,88800000.0,88.8 million,million_toman,False,,14
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,جردن,Jordan,kilid_estimated_avg,,,,83400000.0,83.4 million,million_toman,False,,15
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,جردن,Jordan,kilid_newly_built,,,,102100000.0,102.1 million,million_toman,False,,15
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,میرداماد,Mirdamad,kilid_estimated_avg,,,,78800000.0,78.8 million,million_toman,False,,16
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,میرداماد,Mirdamad,kilid_newly_built,,,,98400000.0,98.4 million,million_toman,False,,16
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,ونک,Vanak,kilid_estimated_avg,,,,80600000.0,80.6 million,million_toman,False,,17
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,ونک,Vanak,kilid_newly_built,,,,97100000.0,97.1 million,million_toman,False,,17
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,مرزداران,Marzdaran,kilid_estimated_avg,,,,65000000.0,65.0 million,million_toman,False,,18
1,Kilid - Housing Price Stats (Estimated vs. Newly Built),,image_transcription,Kilid (Images 1 & 2),C,unverified_transcription,,,missing,neighbourhood,,مرزداران,Marzdaran,kilid_newly_built,,,,79100000.0,79.1 million,million_toman,False,,18
