dataset_id,dataset_title,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,district_number,district_raw,price_avg_million_rials,price_psm_toman,price_psm_unit_source,transactions_n,is_total_row,issue_classes,notes,source_row
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,1,منطقه 1,1349.3,134930000.0,million_rials_to_toman,205,False,,,321
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,2,منطقه 2,1244.2,124420000.0,million_rials_to_toman,294,False,,,322
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,3,منطقه 3,1357.4,135740000.0,million_rials_to_toman,158,False,,,323
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,4,منطقه 4,809.2,80920000.0,million_rials_to_toman,270,False,,,324
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,5,منطقه 5,939.3,93930000.0,million_rials_to_toman,528,False,,,325
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,6,منطقه 6,1018.4,101840000.0,million_rials_to_toman,183,False,,,326
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,7,منطقه 7,724.8,72480000.0,million_rials_to_toman,226,False,,,327
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,8,منطقه 8,732.0,73200000.0,million_rials_to_toman,218,False,,,328
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,9,منطقه 9,608.8,60879999.99999999,million_rials_to_toman,89,False,,,329
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,10,منطقه 10,556.3,55629999.99999999,million_rials_to_toman,329,False,,,330
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,11,منطقه 11,571.4,57140000.0,million_rials_to_toman,146,False,,,331
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,12,منطقه 12,469.4,46940000.0,million_rials_to_toman,65,False,,,332
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,13,منطقه 13,673.9,67390000.0,million_rials_to_toman,88,False,,,333
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,14,منطقه 14,621.4,62140000.0,million_rials_to_toman,217,False,,,334
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,15,منطقه 15,427.3,42730000.0,million_rials_to_toman,155,False,,,335
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,16,منطقه 16,432.4,43240000.0,million_rials_to_toman,64,False,,,336
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,17,منطقه 17,456.7,45670000.0,million_rials_to_toman,95,False,,,337
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,18,منطقه 18,350.1,35010000.0,million_rials_to_toman,75,False,,,338
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,19,منطقه 19,399.6,39960000.0,million_rials_to_toman,36,False,,,339
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,20,منطقه 20,391.7,39170000.0,million_rials_to_toman,33,False,,,340
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,21,منطقه 21,582.1,58210000.0,million_rials_to_toman,63,False,,,341
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,22,منطقه 22,622.5,62250000.0,million_rials_to_toman,56,False,,,342
6,Aban 1402 Sales Prices (Average Price per sqm),image_transcription,User Image (Turn 11),C,unverified_transcription,آبان‌ماه 1402 (Aban 1402),1402-08,explicit,,متوسط شهر / سرجمع,757.7,75770000.0,million_rials_to_toman,3593,True,notation,city_total_row,343
