dataset_id,dataset_title,sub_table,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,geography_level,district_number,area_name,area_name_en,price_basis,floor_area_sqm,building_age_years,building_age_text,price_psm_toman,price_psm_raw,price_psm_unit_source,flag_amount_ambiguous,issue_classes,notes,source_row
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,شکوفه، صدر عالمی,,asking_price_per_sqm,52,13,13,62500000.0,62 میلیون و 500 هزار,assumed_toman,False,,,222
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,دلاران، آزادگان شمالی,,asking_price_per_sqm,123,20,20,70000000.0,70 میلیون,assumed_toman,False,,,223
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,پیروزی، شاه‌آبادی,,asking_price_per_sqm,66,13,13,63630000.0,63 میلیون و 630 هزار,assumed_toman,False,,,224
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,گلبرگ شرقی، درشت,,asking_price_per_sqm,66,11,11,75750000.0,75 میلیون و 750 هزار,assumed_toman,False,,,225
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,پیروزی، دهم فروردین,,asking_price_per_sqm,61,11,11,57150000.0,57 میلیون و 150 هزار,assumed_toman,False,,,226
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,پیروزی، بنایی,,asking_price_per_sqm,65,,نوساز (new build),92000000.0,92 میلیون,assumed_toman,False,notation,age_new_build,227
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,وحیدیه، تسلیحات,,asking_price_per_sqm,52,12,12,63450000.0,63 میلیون و 450 هزار,assumed_toman,False,,,228
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,نارمک، ۴۶ متری غربی,,asking_price_per_sqm,59,8,8,71200000.0,71 میلیون و 200 هزار,assumed_toman,False,,,229
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,نامجو، ایستگاه روشنایی,,asking_price_per_sqm,38,5,5,69740000.0,69 میلیون و 740 هزار,assumed_toman,False,,,230
4,Tir 1403 Sales Prices (Residential Apartments),,image_transcription,User Image (Turn 7),C,unverified_transcription,تیر 1403 (Tir 1403),1403-04,explicit,neighbourhood,,۳۰ متری جی، رویایی,,asking_price_per_sqm,64,14,14,55000000.0,55 میلیون,assumed_toman,False,,,231
